,x1,y1,x,y,angle,size
310,313,334,-57,-15,-2.8842689386187046,58.9406481131655
311,334,334,-54,5,3.0309354324158977,54.3323108288245
312,355,334,-25,4,2.9829373914033916,25.317977802344327
313,376,334,-35,2,3.0560873599115888,35.12833614050059
314,397,334,-21,-2,-3.046640947247037,21.095023109728988
315,418,334,-8,2,2.896613990462929,8.246211251235321
316,544,334,0,-2,-1.5707963267948966,2.0
317,565,334,5,-12,-1.176005207095135,13.0
318,586,334,48,-11,-0.22527677921405528,49.24428900898052
319,607,334,17,-12,-0.6528466311007742,21.400934559032695
320,19,355,-4,1,2.896613990462929,4.123105625617661
321,40,355,-80,-18,-2.920278211242002,82.0
322,61,355,-56,-6,-3.036715714859559,57.3149195236284
323,82,355,-84,-29,-2.79856871316909,89.19641248391103
324,103,355,-83,-16,-2.939567497186201,84.72307831990054
325,124,355,-198,-63,-2.833539872566017,207.78113485107352
326,145,355,-206,-75,-2.7881524232381203,219.57231155134292
327,166,355,-155,-26,-2.9691295820629633,157.33403954643762
328,187,355,-233,-62,-2.8775208335425013,241.36694056974744
329,208,355,-183,-54,-2.8546539006590237,190.80094339389416
330,229,355,-131,-26,-2.9456655214656684,133.55523202031435
331,250,355,-106,-19,-2.9642308429928983,107.68936809174804
332,271,355,-148,-37,-2.890264869428953,152.80052355931247
333,292,355,-111,-26,-2.911506506397559,114.00438588054409
334,313,355,-153,-21,-3.0051900491888457,154.434452114805
335,334,355,-113,-27,-2.8986973207821887,116.41735265844177
336,355,355,-100,-19,-2.9441970937399127,101.9803902718557
337,376,355,-96,0,3.141592653589793,96.0
338,397,355,-59,6,3.0402461503241254,59.30430001273095
339,418,355,-21,6,2.8632929945846817,21.840329667841555
340,439,355,-2,-1,-2.677945044588987,2.23606797749979
341,460,355,-7,12,2.158798930342464,14.422205101855956
342,481,355,0,-1,-1.5707963267948966,1.0
343,502,355,0,4,1.3258176636680326,4.123105625617661
344,523,355,25,-11,-0.4145068745847859,27.313000567495326
345,544,355,52,-10,-0.18998828791871572,52.952809179494906
346,565,355,49,-27,-0.5036262961240962,55.94640292279746
347,586,355,61,-8,-0.1304033078891334,61.5223536610881
348,607,355,7,0,0.0,7.0
