,x1,y1,x,y,angle,size
259,838,103,-4,-195,-1.596431735316574,195.0640920313116
260,859,103,4,-129,-1.5397985069126623,129.0620006043607
261,985,103,-15,-23,-2.1486982637571423,27.459060435491963
262,1006,103,-10,-18,-2.1193457292454245,21.095023109728988
263,1027,103,-21,-29,-2.1815222911841055,36.61966684720111
264,1048,103,-84,-118,-2.189440677719644,144.84474446799925
265,1069,103,-28,-32,-2.289626326416521,42.5205832509386
266,1090,103,-17,-8,-2.701750070774057,18.788294228055936
267,1111,103,-10,5,2.677945044588987,11.180339887498949
268,1132,103,-30,13,2.704965493776252,33.1058907144937
269,1153,103,6,18,1.2490457723982544,18.973665961010276
270,1174,103,3,76,1.5313431256978571,76.05918747922567
271,1195,103,24,51,1.1150225708181911,56.79788728465171
272,1216,103,2,4,1.1071487177940904,4.47213595499958
273,1237,103,-54,-33,-2.593043251139265,63.28506932918696
274,1258,103,-117,-36,-2.843093722003614,122.41323457861898
275,19,124,-15,-1,-3.0090411212931194,15.132745950421556
276,40,124,-14,1,3.070285188804503,14.035668847618199
277,61,124,0,-2,-1.5707963267948966,2.0
278,82,124,-2,-2,-2.356194490192345,2.8284271247461903
279,103,124,-4,3,2.498091544796509,5.0
280,124,124,-36,55,2.1629830063445388,66.2872536767062
281,145,124,-28,48,2.0988707752212563,55.569775957799216
282,166,124,-22,33,2.179485634122308,40.22437072223753
283,460,124,-25,-86,-1.8506134353181398,90.52071586106685
284,481,124,-101,-434,-1.7994454671022502,445.5973518772301
285,502,124,-22,-269,-1.652399098358651,269.89812893015767
286,523,124,5,-45,-1.4382447944982226,45.39823785126467
287,544,124,-6,-21,-1.849095985800008,21.840329667841555
288,586,124,-1,-2,-2.0344439357957027,2.23606797749979
289,607,124,-7,3,2.782821983319221,8.54400374531753
290,628,124,-38,95,1.9603440488549289,102.69371937952194
291,649,124,1,8,1.3258176636680326,8.246211251235321
292,670,124,3,6,1.0516502125483738,8.06225774829855
293,691,124,-9,-8,-2.4149503129080676,12.041594578792296
294,712,124,-2,-134,-1.5931806471341867,134.03357788255897
295,733,124,-13,-54,-1.8244704229335393,55.78530272392541
296,754,124,-14,110,1.6973884540748687,110.8873302050329
297,775,124,0,-50,-1.590793660768047,50.00999900019995
298,796,124,-24,-176,-1.7118978366186022,177.7667010438119
299,817,124,-6,-22,-1.8662371639386166,24.041630560342615
300,838,124,-3,-176,-1.5935196876365376,176.0454486773231
301,859,124,-8,-123,-1.6357454957629194,123.25988804148737
302,1006,124,-29,-37,-2.2355708216122423,47.01063709417264
303,1027,124,-42,-51,-2.2502101322027452,66.84309986827361
304,1048,124,-34,-81,-1.9786642947688067,88.23831367382311
305,1069,124,-43,-91,-2.012225370468984,100.64790112068906
306,1111,124,-2,4,2.0344439357957027,4.47213595499958
307,1132,124,-35,-1,-3.113028995751033,35.014282800023196
308,1153,124,-4,40,1.695151321341658,40.311288741492746
309,1174,124,7,87,1.49050951151188,87.28115489611719
310,1195,124,7,92,1.4840579881189115,92.34717104492157
311,1216,124,-1,21,1.6657480331376529,21.095023109728988
312,1237,124,-2,4,2.0344439357957027,4.47213595499958
313,1258,124,-69,34,2.6721647621453255,77.3692445355388
314,19,145,-4,0,3.141592653589793,4.0
315,40,145,-6,2,2.819842099193151,6.324555320336759
316,61,145,-16,6,2.729182211992406,17.46424919657298
317,82,145,-5,-6,-2.356194490192345,8.48528137423857
318,103,145,-43,36,2.444571276337194,56.08029957123981
319,124,145,-55,45,2.445068665005453,71.7007670809734
320,145,145,-26,46,2.0760865148942913,53.71219600798314
321,166,145,-28,47,2.1080810410956685,54.70831746635972
322,376,145,-1,2,2.0344439357957027,2.23606797749979
323,397,145,-1,16,1.633215136790854,16.0312195418814
324,460,145,-15,-84,-1.7475051828649333,85.32877591996736
325,481,145,-33,-472,-1.6405979953985992,473.1521953874884
326,502,145,-55,-410,-1.7065417160055183,413.80671816682724
327,523,145,1,-18,-1.5152978215491797,18.027756377319946
328,607,145,-26,61,1.9737079176484125,66.30987860040162
329,628,145,-19,69,1.8394993514300677,71.56814934033156
330,670,145,-8,39,1.7681918866447774,40.792156108742276
331,691,145,-12,-42,-1.8709674976250086,43.965895873961216
332,712,145,-3,-91,-1.6037514244091948,91.0494371207203
333,733,145,-17,-40,-1.9936502529278373,43.86342439892262
334,754,145,-12,93,1.7096813423151096,93.90420650854784
335,775,145,-8,17,2.0576955586061656,19.235384061671343
336,796,145,-36,-171,-1.783885665350951,174.95713760804387
337,817,145,-7,-17,-2.0106389096106327,18.788294228055936
338,838,145,-17,-182,-1.6639326824347218,182.7922317824256
339,859,145,0,-33,-1.5707963267948966,33.0
340,1006,145,-11,-13,-2.2730532583039036,17.029386365926403
341,1027,145,-18,-36,-2.056418420092365,40.70626487409524
342,1048,145,-28,-36,-2.248915634543942,46.22769732530488
343,1069,145,-75,-143,-2.0538320878095417,161.47445618425226
344,1132,145,11,27,1.1839206090638685,29.154759474226502
345,1153,145,11,47,1.3258176636680326,49.47726750741192
346,1174,145,4,82,1.522054475484965,82.09750300709517
347,1195,145,25,151,1.407782117856999,154.042202009709
348,1216,145,6,27,1.3521273809209546,27.65863337187866
349,1237,145,-26,-14,-2.618314331457818,30.01666203960727
350,1258,145,-68,39,2.6271413405307653,79.25906888173743
351,40,166,-19,0,3.141592653589793,19.0
